排名,单词,词频,梯队,释义,分类,子分类,真题搭配,其他拼写,备注
1,the,86015,核心高频,这个、这些,抽象概念,基础功能词,,,
2,be,54093,核心高频,是、存在,动作行为,起始与终止,,,
3,a,50252,核心高频,一、每一,抽象概念,基础功能词,,,
4,to,44609,核心高频,目的、终点,空间地点,,,,
5,of,40452,核心高频,的,抽象概念,基础功能词,,,
6,and,28550,核心高频,和,抽象概念,逻辑与关系,,,
7,in,28481,核心高频,在…内,空间地点,,,,
8,have,15599,核心高频,有,动作行为,身体动作,,,
9,that,14916,核心高频,那,抽象概念,基础功能词,,,
10,it,13810,核心高频,它,抽象概念,基础功能词,,,
11,for,13733,核心高频,为了…、因为…,抽象概念,逻辑与关系,,,
12,on,12004,核心高频,在…上、持续,空间地点,,,,
13,they,11942,核心高频,他们,人类与社会,,,,
14,you,10015,核心高频,你,人类与社会,,,,
15,with,9006,核心高频,伴随,空间地点,,,,
16,as,8258,核心高频,作为、既然、随着、就像,抽象概念,逻辑与关系,,,
17,their,7050,核心高频,他们的,人类与社会,,,,
18,by,6895,核心高频,方式、到…为止,空间地点,,,,
19,not,6608,核心高频,不、没有,抽象概念,逻辑与关系,,,
20,he,6542,核心高频,他,人类与社会,,,,
21,from,6455,核心高频,从…、起点,空间地点,,,,
22,at,6378,核心高频,在…位置,空间地点,,,,
23,will,6253,核心高频,将、会,动作行为,身体动作,,,
24,more,6132,核心高频,更多的,抽象概念,数量与程度,,,
25,do,5932,核心高频,做,动作行为,变化趋势,,,
26,we,5808,核心高频,我们,人类与社会,,,,
27,passage,5643,核心高频,段落、通道,空间地点,,,,
28,this,5481,核心高频,这,抽象概念,基础功能词,,,
29,or,5362,核心高频,或者、否则,抽象概念,逻辑与关系,,,
30,can,5333,核心高频,能,动作行为,身体动作,,,
31,I,5332,核心高频,我,人类与社会,,,,
32,one,5193,核心高频,一个,抽象概念,数量与程度,,,
33,but,4929,核心高频,但是,抽象概念,逻辑与关系,,,
34,question,4834,核心高频,问题,动作行为,心理活动,,,
35,people,4812,核心高频,人民、民族,人类与社会,,,,
36,what,4554,核心高频,什么,抽象概念,基础功能词,,,
37,there,4126,核心高频,那里,空间地点,,,,
38,well,4065,核心高频,好、井、涌出,抽象概念,数量与程度,,,
39,about,4062,核心高频,关于,空间地点,,,,
40,answer,3908,核心高频,回答,动作行为,社交交互,,,
41,make,3882,核心高频,制作、使得,动作行为,使动与影响,,,
42,than,3795,核心高频,比,抽象概念,逻辑与关系,,,
43,his,3761,核心高频,他的,人类与社会,,,,
44,time,3396,核心高频,时间,时间日期,,,,
45,say,3372,核心高频,说、说明,动作行为,心理活动,,,
